Date,Comment,Like,Dislike
"Dec 12, 2023",Y'ALL SAW THE WAY HE LOOKED RIGHT👀,6566,11
"Dec 12, 2023",“How to raise your kids RIGHT while doing WRONG” 😂😂😂 the book he’s reading,6278,2
"Dec 12, 2023",Yep he was definitely gawking and flirting for those few seconds!!,3430,3
"Dec 12, 2023",Someone was looking at the hot nanny 👀,2745,0
"Dec 12, 2023",NO CUZ WE 👏🏼 NEED👏🏼 TO 👏🏼 SEE 👏🏼 HER👏🏼 WITH 👏🏼 HER 👏🏼HAIR 👏🏼 DOWN 👏🏼 MORE 👏🏼OFTEN 👏🏼,2569,5
"Dec 12, 2023",Mikey was too cute diving for rings. First actual kid activity I’ve seen him do!,2145,0
"Dec 12, 2023",NOT THE BOOK ABOUT RAISING KIDS RIGHT WHILE DOING WRONG,1284,0
"Dec 12, 2023",this webtoon is so good and criminally short but I'm going to fast pass every week anyway like the simp for speedo daddy that I am thankyaplease,1021,1
"Dec 12, 2023","I feel like her parents death has to do something with his late wife, maybe that’s why he wanted her as the nanny. She might be the only person he can trust because everyone in that house is sus :/",791,0
"Dec 12, 2023","There has never been any question that this man loves his son. The entire staff being terrified of Pool Day rules is hilarious ""I won't be tricked into entering again!""",757,1
"Dec 12, 2023",Um sir… where are you looking?!,610,0
"Dec 12, 2023","Sir, I see where your eyes are. Glasses or no glassses.",560,0
"Dec 12, 2023","Well, someone doesn't respect the sanctity of pool day. I bet it's the uncle.",485,0
"Dec 12, 2023","I volunteer to invited to the next pool day. I too need full access, sir",377,0
"Dec 12, 2023",Ahaha the maid who got tricked on pool day 🤣😂,364,0
"Dec 12, 2023",Mafia nanny? More like mafia mommy,340,2
"Dec 12, 2023",Mikey: did u see that papa. Papa: what you think me blind of course I saw the hot lady doing a perfect dive.,273,0
"Dec 12, 2023","""You promised me full access!"" ""Isn't this enough access to you? 😉""  The scream I scrumpt!! 🤣",261,0
"Dec 23, 2023",“Raising kids right while doing wrong” - gentle parenting for gangsters,248,0
"Dec 19, 2023","Can we talk about how how adorable Davina cheering up Mikey was? He was so resistant to it at first, but you could see him warm up to it. And Davina’s play acting was so freaking cute. I love them.",77856,59
"Dec 19, 2023",The trickle down his chest tho 😳😏,51032,257
"Dec 19, 2023",He need to be worried about the effect she's having on him cause I know that water down his chest did sumn 😏,45766,144
"Dec 19, 2023",OMG THAT WATER-DROP WAS A PAYED ACTOR 😭💅,7293,12
"Dec 19, 2023",I don't understand what the big deal is. I feel like her elite nanny school would've definitely gone over organized crime,4940,4
"Dec 19, 2023","""how does a nanny--"" YOU HIRED AN ELITE NANNY!! YOU HIRED PEOPLE WHO ARE KNOWN TO KNOW AND HANDLE THESE THINGS, WHAT KIND OF QUESTION --",3762,1
"Dec 19, 2023",I just love the way he looks at her when she's not looking,2895,3
"Dec 19, 2023",“don’t be wet”  in what way mafia daddy😏😏,2216,29
"Dec 19, 2023",Mans was checking her out. Twice.,1759,3
